FDA,inhibitor,non inhibitor
-8.7,-11.4,-10.8
-9,-11.5,-10.6
-9.6,-11.6,-10.5
-3.8,-10.9,-10.5
-9.1,-11.6,-10.4
-6.2,-11,-9.9
-10.9,-12.1,-9.6
-10.3,-11.8,-9.6
-7.9,-11.3,-9.3
-6.7,-11.1,-9.2
-7.2,-11.1,-9.1
-10.2,-11.7,-9
-11.4,-12.2,-8.8
-7.9,-11.2,-8.8
-11,-12.2,-8.6
-9.6,-11.6,-8.5
-8.2,-11.4,-8.5
-7.3,-11.1,-8.5
-10.5,-11.8,-8.3
-7.3,-11.1,-8.1
-10.9,-11.9,-7.9
-9.6,-11.6,-7.9
-8.8,-11.4,-7.8
-12,-12.4,-7.6
-12.8,-12.5,-7.5
-12.5,-12.4,-7.4
-8.7,-11.4,-7.4
-6,-11,-7.3
-8.9,-11.5,-7.2
-5.4,-11,-7.2
-8.2,-11.3,-6.9
-8.5,-11.4,-6.8
-9,-11.6,-6.5
-8,-11.3,-6.5
-8.3,-11.4,-6.2
-8,-11.3,-6.2
-10.9,-12.1,-6.1
-5.3,-10.9,-6.1
-8.8,-11.4,-5.8
-6.5,-11.1,-5.7
-15.1,-12.5,-5.6
-11.5,-12.2,-5.6
-3.7,-10.9,-5.3
-8.4,-11.4,-4.8
-8.9,-11.5,-4.6
-10.3,-11.7,-3.1
